AÑO;MES;CCAA_DESTINO;CONTINENTE_ORIGEN;PAIS_ORIGEN;TURISTAS;PERNOCTACIONES;ESTANCIA_MEDIA
2023;1;Comunitat Valenciana;América;Costa Rica;58.0;662.0;11.4
2023;1;Comunitat Valenciana;América;Ecuador;352.0;3611.0;10.3
2023;1;Comunitat Valenciana;América;Estados Unidos de América;8392.0;78873.0;9.4
2023;1;Comunitat Valenciana;América;Guatemala;64.0;678.0;10.6
2023;1;Comunitat Valenciana;América;Honduras;175.0;2219.0;12.7
2023;1;Comunitat Valenciana;América;México;1474.0;11132.0;7.6
2023;1;Comunitat Valenciana;América;Nicaragua;41.0;409.0;10.0
2023;1;Comunitat Valenciana;América;Panamá;167.0;1874.0;11.2
2023;1;Comunitat Valenciana;América;Paraguay;175.0;1510.0;8.6
2023;1;Comunitat Valenciana;América;Perú;402.0;4786.0;11.9
2023;1;Comunitat Valenciana;América;República Dominicana;78.0;694.0;8.9
2023;1;Comunitat Valenciana;América;Uruguay;174.0;2245.0;12.9
2023;1;Comunitat Valenciana;América;Venezuela;659.0;9559.0;14.5
2023;1;Comunitat Valenciana;Asia;Arabia Saudí;185.0;1481.0;8.0
2023;1;Comunitat Valenciana;Asia;China;1795.0;15718.0;8.8
2023;1;Comunitat Valenciana;Asia;Corea;444.0;2192.0;4.9
2023;1;Comunitat Valenciana;Asia;Emiratos Árabes Unidos;447.0;3679.0;8.2
2023;1;Comunitat Valenciana;Asia;Filipinas;539.0;3314.0;6.1
2023;1;Comunitat Valenciana;Asia;India;776.0;6234.0;8.0
2023;1;Comunitat Valenciana;Asia;Indonesia;164.0;1207.0;7.4
2023;1;Comunitat Valenciana;Asia;Irán;81.0;752.0;9.3
2023;1;Comunitat Valenciana;Asia;Israel;152.0;1091.0;7.2
2023;1;Comunitat Valenciana;Asia;Japón;265.0;2884.0;10.9
2023;1;Comunitat Valenciana;Asia;Kazajstán;386.0;4649.0;12.0
2023;1;Comunitat Valenciana;Asia;Líbano;57.0;486.0;8.5
2023;1;Comunitat Valenciana;Asia;Malasia;66.0;567.0;8.6
2023;1;Comunitat Valenciana;Asia;Myanmar;36.0;196.0;5.4
2023;1;Comunitat Valenciana;Asia;Otros países de Asia;38.0;213.0;5.6
2023;1;Comunitat Valenciana;Asia;Pakistán;184.0;1359.0;7.4
2023;1;Comunitat Valenciana;Asia;Qatar;102.0;833.0;8.2
2023;1;Comunitat Valenciana;Asia;Singapur;114.0;1208.0;10.6
2023;1;Comunitat Valenciana;Asia;Sri Lanka;39.0;225.0;5.8
2023;1;Comunitat Valenciana;Asia;Tailandia;164.0;1058.0;6.5
2023;1;Comunitat Valenciana;Asia;Uzbekistán;51.0;439.0;8.6
2023;1;Comunitat Valenciana;Asia;Vietnam;92.0;790.0;8.6
2023;1;Comunitat Valenciana;Europa;Albania;161.0;1121.0;7.0
